# epsilon = 1E-3
# theta  (T0-Te)
-3.141500000000000181e+00 1.138000000000083389e-03
-3.081421052631579283e+00 9.350000000001301714e-04
-3.021342105263157940e+00 7.170000000003007301e-04
-2.961263157894737041e+00 6.310000000002702336e-04
-2.901184210526316143e+00 5.050000000004217782e-04
-2.841105263157894800e+00 4.129999999999967031e-04
-2.781026315789473902e+00 3.290000000002457625e-04
-2.720947368421052559e+00 2.930000000000987370e-04
-2.660868421052631660e+00 2.130000000004628191e-04
-2.600789473684210762e+00 1.380000000001935234e-04
-2.540710526315789419e+00 2.700000000022129143e-05
-2.480631578947368521e+00 2.700000000022129143e-05
-2.420552631578947178e+00 1.040000000003260539e-04
-2.360473684210526280e+00 8.400000000019502977e-05
-2.300394736842105381e+00 5.500000000058236083e-05
-2.240315789473684482e+00 2.800000000036106940e-05
-2.180236842105263140e+00 -5.899999999980920506e-05
-2.120157894736841797e+00 -2.699999999999924682e-04
-2.060078947368420899e+00 -2.589999999997871782e-04
-2.049999999999999822e+00 -2.049999999997886846e-04
-2.000000000000000000e+00 -3.299999999999414513e-04
-1.994736842105262919e+00 -3.389999999998671854e-04
-1.939473684210526239e+00 -3.429999999995381188e-04
-1.884210526315789336e+00 -4.490000000001437286e-04
-1.828947368421052433e+00 -5.969999999995145856e-04
-1.773684210526315752e+00 -7.790000000000851799e-04
-1.718421052631578849e+00 -8.579999999995813198e-04
-1.663157894736841946e+00 -1.270999999999578023e-03
-1.607894736842105043e+00 -1.436999999999688526e-03
-1.552631578947368363e+00 -1.287999999999733802e-03
-1.497368421052631460e+00 -2.034000000000091291e-03
-1.442105263157894779e+00 -2.518999999999493866e-03
-1.386842105263157876e+00 -3.385999999999889098e-03
-1.331578947368420973e+00 -4.022999999999665732e-03
-1.276315789473684070e+00 -5.028999999999950177e-03
-1.221052631578947167e+00 -5.723999999999396238e-03
-1.165789473684210487e+00 -6.353999999999526693e-03
-1.110526315789473806e+00 -7.371000000000016428e-03
-1.055263157894736903e+00 -8.226999999999762281e-03
-1.050000000000000044e+00 -8.257999999999654506e-03
-1.000000000000000000e+00 -8.946999999999594166e-03
-9.947368421052631415e-01 -9.230000000000071481e-03
-9.394736842105263497e-01 -1.070500000000018659e-02
-8.842105263157895578e-01 -1.157999999999992369e-02
-8.289473684210526550e-01 -1.272199999999967801e-02
-7.736842105263157521e-01 -1.417299999999999116e-02
-7.184210526315789602e-01 -1.569699999999984996e-02
-6.631578947368421684e-01 -1.662799999999986511e-02
-6.078947368421052655e-01 -1.800599999999974443e-02
-5.526315789473683626e-01 -1.908599999999971430e-02
-4.973684210526315708e-01 -2.134899999999984033e-02
-4.421052631578947789e-01 -2.274899999999968614e-02
-3.868421052631578760e-01 -2.180999999999988503e-02
-3.315789473684209732e-01 -2.413599999999993528e-02
-2.763157894736841813e-01 -2.207800000000004204e-02
-2.210526315789473895e-01 -2.185099999999984277e-02
-1.657894736842104866e-01 -2.218000000000008853e-02
-1.105263157894735837e-01 -2.250599999999991496e-02
-5.526315789473679185e-02 -2.228199999999969094e-02
0.000000000000000000e+00 -2.154599999999984306e-02
5.000000000000000278e-02 -2.056900000000005946e-02
1.000000000000000056e-01 -1.936800000000005184e-02
1.499999999999999944e-01 -1.881800000000044548e-02
2.000000000000000111e-01 -1.871799999999979036e-02
2.500000000000000000e-01 -1.847200000000048803e-02
2.999999999999999889e-01 -1.767900000000022231e-02
3.499999999999999778e-01 -1.436700000000046273e-02
3.999999999999999667e-01 -6.402000000000018787e-03
4.499999999999999556e-01 1.615999999999839787e-03
4.999999999999999445e-01 9.420999999999679630e-03
5.499999999999999334e-01 1.651299999999977786e-02
5.999999999999999778e-01 2.266300000000009973e-02
6.500000000000000222e-01 2.720300000000008822e-02
6.999999999999999556e-01 2.760100000000020870e-02
7.500000000000000000e-01 2.779700000000007165e-02
7.999999999999999334e-01 2.747799999999989140e-02
8.499999999999999778e-01 2.709599999999978692e-02
9.000000000000000222e-01 2.672400000000019205e-02
9.499999999999999556e-01 2.636299999999991428e-02
1.000000000000000000e+00 2.601199999999970203e-02
1.050000000000000044e+00 2.599399999999985056e-02
1.100000000000000089e+00 2.619699999999980378e-02
1.150000000000000133e+00 2.622200000000018960e-02
1.199999999999999956e+00 2.606400000000030914e-02
1.250000000000000000e+00 2.575700000000002987e-02
1.300000000000000044e+00 2.523800000000031574e-02
1.350000000000000089e+00 2.513500000000012946e-02
1.399999999999999911e+00 2.491600000000016024e-02
1.449999999999999956e+00 2.432799999999968321e-02
1.500000000000000000e+00 2.408799999999988728e-02
1.550000000000000044e+00 2.290999999999998593e-02
1.600000000000000089e+00 2.193000000000022709e-02
1.649999999999999911e+00 2.111999999999980560e-02
1.699999999999999956e+00 2.015599999999961867e-02
1.750000000000000000e+00 1.908299999999973906e-02
1.799999999999999822e+00 1.827699999999987668e-02
